"","ID","circl_binary","circl_sum","reviews_binary","reviews_sum","canonisation_score","class"
"1","ABDALLAH_noWikiID",1,3,0,0,0.0560723413501725,"No Review, Catalogue"
"2","ABU_TELFAN_Q335418",1,1,1,1,0.135719851904178,"Review & Catalogue"
"3","ADAMS_ERSTES_ERWACHEN_UND_ERSTE_SEELIGE_NAECHTE_noWikiID",1,1,0,0,0.0275134422375932,"No Review, Catalogue"
"4","ADDRICH_IM_MOOS_noWikiID",1,1,1,1,0.0221068485323305,"Review & Catalogue"
"5","ADELE_noWikiID",0,0,0,0,0.0205467828522686,"No Review & No Catalogue"
"6","AESTHETISCHE_FELDZUEGE_noWikiID",0,0,1,2,0.0275134422375932,"Review, No Catalogue"
"7","AGATHODAEMON_noWikiID",1,3,0,0,0.0741722353260478,"No Review, Catalogue"
"8","AGNES_VON_LILIEN_Q105642294",0,0,0,0,0.0205467828522686,"No Review & No Catalogue"
"9","AHNUNG_UND_GEGENWART_Q402329",1,1,1,2,0.740328921716904,"Review & Catalogue"
"10","ALSO_SPRACH_ZARATHUSTRA_Q199774",1,1,1,2,0.0205467828522686,"Review & Catalogue"
"11","ALTE_NESTER_Q436036",0,0,1,2,0.0645339993923284,"Review, No Catalogue"
"12","ALTERSHAUSEN_noWikiID",0,0,0,0,0.0560723413501725,"No Review & No Catalogue"
"13","AMANDA_UND_EDUARD_noWikiID",0,0,0,0,0.0424309919848873,"No Review & No Catalogue"
"14","AMAZONENSCHLACHT_noWikiID",0,0,0,0,0.0205467828522686,"No Review & No Catalogue"
"15","AN_HEILIGEN_WASSERN_noWikiID",1,1,1,1,0.0205467828522686,"Review & Catalogue"
"16","ANDREA_DELFIN_Q28054637",1,1,1,1,0.0560723413501725,"Review & Catalogue"
"17","ANDROGYNE_noWikiID",0,0,0,0,0.0205467828522686,"No Review & No Catalogue"
"18","ANGELA_BORGIA_noWikiID",1,1,1,1,0.0975111340573339,"Review & Catalogue"
"19","ANNA_noWikiID",0,0,0,0,0.0367536016133564,"No Review & No Catalogue"
"20","ANTON_REISER_Q593385",1,1,1,2,0.827943039612669,"Review & Catalogue"
"21","AQUIS_SUBMERSUS_Q623355",1,1,1,1,0.389868771519071,"Review & Catalogue"
"22","ARBEIT_noWikiID",0,0,0,0,0.0205467828522686,"No Review & No Catalogue"
"23","ARDINGHELLO_noWikiID",1,2,0,0,0.274620702296579,"No Review, Catalogue"
"24","ARDISTAN_UND_DSCHINNISTAN_Q639501",0,0,0,0,0.0601640846066759,"No Review & No Catalogue"
"25","ARIEL'S_OFFENBARUNGEN_noWikiID",0,0,0,0,0.0601640846066759,"No Review & No Catalogue"
"26","ARISTIPP_UND_EINIGE_SEINER_ZEITGENOSSEN_noWikiID",1,4,0,0,0.0645339993923284,"No Review, Catalogue"
"27","ARMUT,_REICHTUM,_SCHULD_UND_BUSSE_DER_GRAEFIN_DOLORES_Q689540",1,1,0,0,0.154236863598718,"No Review, Catalogue"
"28","ASIATISCHE_BANISE_noWikiID",1,1,0,0,0.0394945910733656,"No Review, Catalogue"
"29","ASPASIA_noWikiID",1,1,0,0,0.0205467828522686,"No Review, Catalogue"
