,Year,Score Range,mean,std
0,-50,Low (0-0.5),0.650392061923782,0.12062050819395621
1,-50,High (0.5-1.0),0.6909221905107419,0.08358754890007733
2,-49,Low (0-0.5),0.6526591877708615,0.1202788841762638
3,-49,High (0.5-1.0),0.692541793137366,0.07814190481344355
4,-48,Low (0-0.5),0.6539210758551911,0.12245663098459325
5,-48,High (0.5-1.0),0.6912274576135483,0.07969872115848282
6,-47,Low (0-0.5),0.6555747815459441,0.12284125232908902
7,-47,High (0.5-1.0),0.6932438677133386,0.08231493884647635
8,-46,Low (0-0.5),0.6572053347354149,0.12315664645384682
9,-46,High (0.5-1.0),0.6936509901156366,0.08137114685112158
10,-45,Low (0-0.5),0.6599502451231547,0.12194080302142592
11,-45,High (0.5-1.0),0.6965730540891716,0.08598560470389445
12,-44,Low (0-0.5),0.6627326096037156,0.12293996113202067
13,-44,High (0.5-1.0),0.6990710960054759,0.08492102649178974
14,-43,Low (0-0.5),0.6652832163766567,0.12399357385618537
15,-43,High (0.5-1.0),0.6982254416230284,0.08525180008334085
16,-42,Low (0-0.5),0.6683770021556172,0.12330127660305322
17,-42,High (0.5-1.0),0.7069299002924359,0.07773622031628334
18,-41,Low (0-0.5),0.671642296782,0.12181936146258239
19,-41,High (0.5-1.0),0.7130344105526746,0.07643094876802659
20,-40,Low (0-0.5),0.6731866807581421,0.12244043179919034
21,-40,High (0.5-1.0),0.7100101650312528,0.07694710421399165
22,-39,Low (0-0.5),0.6748157465844183,0.12188554543071832
23,-39,High (0.5-1.0),0.7146513293883995,0.07763621939593678
24,-38,Low (0-0.5),0.6769590113540546,0.12191916723909765
25,-38,High (0.5-1.0),0.7125413689372586,0.07949153284190182
26,-37,Low (0-0.5),0.6797280435526782,0.12233779541367051
27,-37,High (0.5-1.0),0.7051851097471135,0.08785275626500044
28,-36,Low (0-0.5),0.6821324402116338,0.12003457804910904
29,-36,High (0.5-1.0),0.7047057681200803,0.09146056399572774
30,-35,Low (0-0.5),0.684795018843051,0.12224037014639545
31,-35,High (0.5-1.0),0.7123715137707951,0.07945529383202835
32,-34,Low (0-0.5),0.6866573034039251,0.12236740723297627
33,-34,High (0.5-1.0),0.7126216969477257,0.08388348990751476
34,-33,Low (0-0.5),0.6912235993873206,0.12161972511794908
35,-33,High (0.5-1.0),0.7164466398341746,0.0852842572632418
36,-32,Low (0-0.5),0.6921301810630842,0.12236948278300448
37,-32,High (0.5-1.0),0.719406837528097,0.08825582644781207
38,-31,Low (0-0.5),0.6942916869001164,0.12317409640555527
39,-31,High (0.5-1.0),0.7174974825269859,0.08963400017217509
40,-30,Low (0-0.5),0.6976833550992712,0.12343811204609241
41,-30,High (0.5-1.0),0.7196570193524606,0.09818853108883725
42,-29,Low (0-0.5),0.6995161429885739,0.12261289872475419
43,-29,High (0.5-1.0),0.7201382680677875,0.10107913697872183
44,-28,Low (0-0.5),0.7018177637829134,0.12452163296841673
45,-28,High (0.5-1.0),0.7267114581419161,0.08420666110163191
46,-27,Low (0-0.5),0.7036876576999106,0.1253248474579751
47,-27,High (0.5-1.0),0.7293069833128355,0.09226498819118635
48,-26,Low (0-0.5),0.7075229257258108,0.12384223804441531
49,-26,High (0.5-1.0),0.7322592315822324,0.09384101546655967
50,-25,Low (0-0.5),0.7099638410594147,0.12334622790751842
51,-25,High (0.5-1.0),0.726925422557727,0.1166555397644301
52,-24,Low (0-0.5),0.7119356227244222,0.1233348866624218
53,-24,High (0.5-1.0),0.725793336865694,0.12376514912623501
54,-23,Low (0-0.5),0.7139311981332398,0.12115341013139501
55,-23,High (0.5-1.0),0.7370611659380567,0.10341654075971925
56,-22,Low (0-0.5),0.7155495981635368,0.12037741331129678
57,-22,High (0.5-1.0),0.7389602959071576,0.10404427434891847
58,-21,Low (0-0.5),0.7173342577787135,0.1199424769568462
59,-21,High (0.5-1.0),0.7437491719967401,0.10174452167146432
60,-20,Low (0-0.5),0.7195886795890627,0.11925883612741951
61,-20,High (0.5-1.0),0.7490152656401873,0.09924774178091865
62,-19,Low (0-0.5),0.7202808476903415,0.1198939518346342
63,-19,High (0.5-1.0),0.7499959117291781,0.09897234518770416
64,-18,Low (0-0.5),0.7227444463243138,0.12042928935074139
65,-18,High (0.5-1.0),0.7577337873570241,0.0931511990232295
66,-17,Low (0-0.5),0.7243459775836297,0.12211899361024339
67,-17,High (0.5-1.0),0.7612487021673006,0.09236832291013436
68,-16,Low (0-0.5),0.7272517085459811,0.121737690598654
69,-16,High (0.5-1.0),0.7647837430478484,0.09571187182397012
70,-15,Low (0-0.5),0.7314153662135316,0.12013243175051491
